Hotel,País,Categoria,Temporada,Dias de la Semana,Doble,Triple,Cuádruple,Días
"GRAND DECAMERON COMPLEX",México,A,Baja,Entre Semana,9,10,11,"D, L, M, Mi, J"
"GRAND DECAMERON COMPLEX",México,A,Baja,Fin de semana,18,20,22,"V, S"
"GRAND DECAMERON COMPLEX",México,A,Baja,Semana Completa,81,90,99,"D, L, M, Mi, J, V, S"
"GRAND DECAMERON COMPLEX",México,A,Media,Entre Semana,11,12,13,"D, L, M, Mi, J"
"GRAND DECAMERON COMPLEX",México,A,Media,Fin de semana,22,24,26,"V, S"
"GRAND DECAMERON COMPLEX",México,A,Media,Semana Completa,99,108,117,"D, L, M, Mi, J, V, S"
"GRAND DECAMERON COMPLEX",México,A,Alta,Todos los días,28,30,32,"D, L, M, Mi, J, V, S"
"GRAND DECAMERON PANAMÁ",Panamá,A,Baja,Entre Semana,9,10,11,"D, L, M, Mi, J"
"GRAND DECAMERON PANAMÁ",Panamá,A,Baja,Fin de semana,18,20,22,"V, S"
"GRAND DECAMERON PANAMÁ",Panamá,A,Baja,Semana Completa,81,90,99,"D, L, M, Mi, J, V, S"
"GRAND DECAMERON PANAMÁ",Panamá,A,Media,Entre Semana,11,12,13,"D, L, M, Mi, J"
"GRAND DECAMERON PANAMÁ",Panamá,A,Media,Fin de semana,22,24,26,"V, S"
"GRAND DECAMERON PANAMÁ",Panamá,A,Media,Semana Completa,99,108,117,"D, L, M, Mi, J, V, S"
"GRAND DECAMERON PANAMÁ",Panamá,A,Alta,Todos los días,28,30,32,"D, L, M, Mi, J, V, S"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Baja,Entre Semana,9,10,11,"D, L, M, Mi, J"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Baja,Fin de semana,18,20,22,"V, S"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Baja,Semana Completa,81,90,99,"D, L, M, Mi, J, V, S"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Media,Entre Semana,11,12,13,"D, L, M, Mi, J"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Media,Fin de semana,22,24,26,"V, S"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Media,Semana Completa,99,108,117,"D, L, M, Mi, J, V, S"
"ROYAL DECAMERON SALINITAS",El Salvador,A,Alta,Todos los días,28,30,32,"D, L, M, Mi, J, V, S"
"DECAMERON ISLEÑO",Colombia,A,Baja,Entre Semana,9,10,11,"D, L, M, Mi, J"
"DECAMERON ISLEÑO",Colombia,A,Baja,Fin de semana,18,20,22,"V, S"
"DECAMERON ISLEÑO",Colombia,A,Baja,Semana Completa,81,90,99,"D, L, M, Mi, J, V, S"
"DECAMERON ISLEÑO",Colombia,A,Media,Entre Semana,11,12,13,"D, L, M, Mi, J"
"DECAMERON ISLEÑO",Colombia,A,Media,Fin de semana,22,24,26,"V, S"
"DECAMERON ISLEÑO",Colombia,A,Media,Semana Completa,99,108,117,"D, L, M, Mi, J, V, S"
"DECAMERON ISLEÑO",Colombia,A,Alta,Todos los días,28,30,32,"D, L, M, Mi, J, V, S"
"DECAMERON BARÚ",Colombia,A,Baja,Entre Semana,9,10,11,"D, L, M, Mi, J"
"DECAMERON BARÚ",Colombia,A,Baja,Fin de semana,18,20,22,"V, S"
"DECAMERON BARÚ",Colombia,A,Baja,Semana Completa,81,90,99,"D, L, M, Mi, J, V, S"
"DECAMERON BARÚ",Colombia,A,Media,Entre Semana,11,12,13,"D, L, M, Mi, J"
"DECAMERON BARÚ",Colombia,A,Media,Fin de semana,22,24,26,"V, S"
"DECAMERON BARÚ",Colombia,A,Media,Semana Completa,99,108,117,"D, L, M, Mi, J, V, S"
"DECAMERON BARÚ",Colombia,A,Alta,Todos los días,28,30,32,"D, L, M, Mi, J, V, S"
